interval,time_of_day,hour,minute,energy_kwh,power_kw,is_peak
0,0.0,0,0,11.882117733723067,47.52847093489227,False
1,0.25,0,15,11.882117733723067,47.52847093489227,False
2,0.5,0,30,11.882117733723067,47.52847093489227,False
3,0.75,0,45,11.882117733723067,47.52847093489227,False
4,1.0,1,0,11.882117733723067,47.52847093489227,False
5,1.25,1,15,11.882117733723067,47.52847093489227,False
6,1.5,1,30,11.882117733723067,47.52847093489227,False
7,1.75,1,45,11.882117733723067,47.52847093489227,False
8,2.0,2,0,11.882117733723067,47.52847093489227,False
9,2.25,2,15,11.882117733723067,47.52847093489227,False
10,2.5,2,30,11.882117733723067,47.52847093489227,False
11,2.75,2,45,11.882117733723067,47.52847093489227,False
12,3.0,3,0,11.882117733723067,47.52847093489227,False
13,3.25,3,15,11.882117733723067,47.52847093489227,False
14,3.5,3,30,11.882117733723067,47.52847093489227,False
15,3.75,3,45,11.882117733723067,47.52847093489227,False
16,4.0,4,0,11.882117733723067,47.52847093489227,False
17,4.25,4,15,11.882117733723067,47.52847093489227,False
18,4.5,4,30,11.882117733723067,47.52847093489227,False
19,4.75,4,45,11.882117733723067,47.52847093489227,False
20,5.0,5,0,11.882117733723067,47.52847093489227,False
21,5.25,5,15,11.882117733723067,47.52847093489227,False
22,5.5,5,30,11.882117733723067,47.52847093489227,False
23,5.75,5,45,11.882117733723067,47.52847093489227,False
24,6.0,6,0,11.882117733723067,47.52847093489227,False
25,6.25,6,15,11.882117733723067,47.52847093489227,False
26,6.5,6,30,11.882117733723067,47.52847093489227,False
27,6.75,6,45,11.882117733723067,47.52847093489227,False
28,7.0,7,0,11.882117733723067,47.52847093489227,False
29,7.25,7,15,11.882117733723067,47.52847093489227,False
30,7.5,7,30,11.882117733723067,47.52847093489227,False
31,7.75,7,45,11.882117733723067,47.52847093489227,False
32,8.0,8,0,11.882117733723067,47.52847093489227,False
33,8.25,8,15,11.882117733723067,47.52847093489227,False
34,8.5,8,30,11.882117733723067,47.52847093489227,False
35,8.75,8,45,11.882117733723067,47.52847093489227,False
36,9.0,9,0,11.882117733723067,47.52847093489227,False
37,9.25,9,15,12.106169962539147,48.424679850156586,False
38,9.5,9,30,12.781841260926177,51.12736504370471,False
39,9.75,9,45,13.839643376438929,55.358573505755714,False
40,10.0,10,0,15.027916344114676,60.1116653764587,False
41,10.25,10,15,16.32465681637369,65.29862726549476,False
42,10.5,10,30,17.922687327332696,71.69074930933078,False
43,10.75,10,45,21.941601687332344,87.76640674932938,False
44,11.0,11,0,22.716549157773727,90.86619663109491,False
45,11.25,11,15,26.62440500560578,106.49762002242312,False
46,11.5,11,30,29.39715759447595,117.5886303779038,False
47,11.75,11,45,31.68269273796747,126.73077095186989,False
48,12.0,12,0,32.681343195959194,130.72537278383678,False
49,12.25,12,15,37.3812992256946,149.5251969027784,False
50,12.5,12,30,38.39214360723036,153.56857442892144,False
51,12.75,12,45,50.73871795378347,202.95487181513388,False
52,13.0,13,0,54.3861228110124,217.5444912440496,False
53,13.25,13,15,58.48422037350891,233.93688149403565,False
54,13.5,13,30,53.329999826273394,213.31999930509357,False
55,13.75,13,45,57.69362657391213,230.7745062956485,False
56,14.0,14,0,64.02892922182642,256.11571688730567,False
57,14.25,14,15,68.0,272.0,False
58,14.5,14,30,68.0,272.0,False
59,14.75,14,45,68.0,272.0,False
60,15.0,15,0,68.0,272.0,False
61,15.25,15,15,68.0,272.0,False
62,15.5,15,30,68.0,272.0,False
63,15.75,15,45,68.0,272.0,False
64,16.0,16,0,68.0,272.0,False
65,16.25,16,15,68.0,272.0,False
66,16.5,16,30,68.0,272.0,False
67,16.75,16,45,68.0,272.0,False
68,17.0,17,0,68.0,272.0,False
69,17.25,17,15,68.0,272.0,False
70,17.5,17,30,68.0,272.0,False
71,17.75,17,45,68.0,272.0,False
72,18.0,18,0,68.0,272.0,True
73,18.25,18,15,68.0,272.0,True
74,18.5,18,30,68.0,272.0,True
75,18.75,18,45,68.0,272.0,True
76,19.0,19,0,68.0,272.0,True
77,19.25,19,15,68.0,272.0,True
78,19.5,19,30,68.0,272.0,True
79,19.75,19,45,68.0,272.0,True
80,20.0,20,0,68.0,272.0,True
81,20.25,20,15,68.0,272.0,True
82,20.5,20,30,68.0,272.0,True
83,20.75,20,45,68.0,272.0,True
84,21.0,21,0,68.0,272.0,True
85,21.25,21,15,66.97043009432883,267.88172037731533,True
86,21.5,21,30,48.607659307460246,194.43063722984098,True
87,21.75,21,45,30.244888520591655,120.97955408236662,True
88,22.0,22,0,11.882117733723067,47.52847093489227,False
89,22.25,22,15,11.882117733723067,47.52847093489227,False
90,22.5,22,30,11.882117733723067,47.52847093489227,False
91,22.75,22,45,11.882117733723067,47.52847093489227,False
92,23.0,23,0,11.882117733723067,47.52847093489227,False
93,23.25,23,15,11.882117733723067,47.52847093489227,False
94,23.5,23,30,11.882117733723067,47.52847093489227,False
95,23.75,23,45,11.882117733723067,47.52847093489227,False
