hora_del_dia,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
0,10478685.0,2799494.0,24111454.185000002,14064657.856,38176112.041
1,10479834.0,2799820.0,24114098.034,14066295.68,38180393.714
2,10480942.0,2800140.0,24116647.542000003,14067903.36,38184550.902
3,10482106.0,2800461.0,24119325.906000003,14069516.064,38188841.97
4,10483282.0,2800757.0,24122031.882000003,14071003.168,38193035.050000004
5,10484421.0,2801076.0,24124652.721,14072605.824000001,38197258.545
6,10485587.0,2801389.0,24127335.687000003,14074178.336,38201514.023
7,10486696.0,2801720.0,24129887.496000003,14075841.28,38205728.776
8,10487888.0,2802025.0,24132630.288000003,14077373.6,38210003.888000004
9,10491322.0,2802966.0,24140531.922000002,14082101.184,38222633.106
10,10494849.0,2803844.0,24148647.549000002,14086512.256000001,38235159.805
11,10498306.0,2804765.0,24156602.106000002,14091139.36,38247741.466
12,10501804.0,2805662.0,24164651.004,14095645.888,38260296.892000005
13,10505237.0,2806570.0,24172550.337,14100207.68,38272758.017000005
14,10508701.0,2807502.0,24180521.001000002,14104890.048,38285411.049
15,10512212.0,2808412.0,24188599.812000003,14109461.888,38298061.7
16,10515702.0,2809316.0,24196630.302,14114003.584,38310633.886
17,10519144.0,2810248.0,24204550.344,14118685.952,38323236.296000004
18,10522551.0,2811167.0,24212389.851,14123303.008,38335692.859000005
19,10526024.0,2812099.0,24220381.224000003,14127985.376,38348366.6
20,10529494.0,2813027.0,24228365.694000002,14132647.648,38361013.342
21,10532940.0,2813962.0,24236294.94,14137345.088,38373640.028000005
22,10534097.0,2814251.0,24238957.197,14138797.024,38377754.221
23,10535231.0,2814529.0,24241566.531000003,14140193.696,38381760.227000006
