mes,motos_cargando,taxis_cargando,co2_motos_kg,co2_taxis_kg,co2_total_kg
1,1686766.0,454908.0,2575065.2703738953,1518710.477712632,4093775.748086527
2,5060430.0,1359934.0,7725397.326101054,4540140.016877369,12265537.342978423
3,8469352.0,2258297.0,12929555.254120424,7539325.128788685,20468880.382909108
4,11876712.0,3169271.0,18131328.588217266,10580612.067518685,28711940.65573595
5,15280300.0,4075310.0,23327343.479115795,13605423.507450001,36932766.9865658
6,18710387.0,5004119.0,28563812.502122533,16706252.598373424,45270065.10049596
7,22128454.0,5930024.0,33781931.448977694,19797386.684532635,53579318.13351033
8,25544912.0,6847864.0,38997594.050364636,22861595.766069476,61859189.816434115
9,28976095.0,7752121.0,44235736.25835159,25880457.998531844,70116194.25688343
10,32403796.0,8659595.0,49468562.74544338,28910060.186340794,78378622.93178417
11,35815287.0,9558627.0,54676642.58241727,31911478.754928164,86588121.33734544
12,39251827.0,10445582.0,59922962.93998359,34872578.25583737,94795541.19582097
13,6872737.0,1829550.0,10492117.081512002,6107953.156460527,16600070.23797253
