hour,motos_kw,taxis_kw,total_kw
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,11.537367213127222,2.5013766661958488,14.038743879323071
11,42.19703393799761,9.17814022737594,51.37517416537355
12,86.2660249448621,18.531705407932645,104.79773035279474
13,139.2749293525275,29.667393990773355,168.94232334330084
14,196.774573947583,42.15296825472969,238.9275422023127
15,248.09548815692807,53.37445320048474,301.46994135741284
16,296.4259225285661,62.08497564319082,358.51089817175693
17,318.9612691224742,69.6621437827053,388.6234129051795
18,337.4281231530869,72.77669242892857,410.2048155820155
19,332.59446590113373,70.18095486354126,402.775420764675
20,335.80079298812655,70.58680544952612,406.3875984376527
21,333.6440087535873,72.30239008461574,405.94639883820304
22,0.0,0.0,0.0
23,0.0,0.0,0.0
